City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
154,Moratuwa,LK,80.08,light rain,6.773,79.8816,Sa Mansion By Yoho
155,Antalaha,MG,66.69,light rain,-14.9003,50.2788,Hotel Vitasoa
156,Ryotsu,JP,81.99,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
157,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
159,Tiquisate,GT,76.23,overcast clouds,14.2833,-91.3667,Hotel Small Ville - Tiquisate
160,Shache,CN,82.31,overcast clouds,38.4167,77.2406,Delong Hotel
162,Seydi,TM,75.72,clear sky,39.4816,62.9137,Seydi oteli
164,Ponta Delgada,PT,76.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
165,Pestravka,RU,62.83,clear sky,52.405,49.9583,"Gostinitsa ""Germes"""
166,Flin Flon,CA,66.36,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
169,Nhulunbuy,AU,84.81,few clouds,-12.2333,136.7667,East Arnhem Real Estate
170,Kenai,US,62.69,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
171,La Ronge,CA,79.05,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
173,Salamanca,ES,75.61,clear sky,40.8333,-6.0,Palacio Carrascalino
174,Itoman,JP,89.62,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
175,Bintulu,MY,86.41,scattered clouds,3.1667,113.0333,900 Boutique INN
176,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
177,Vila Velha,BR,71.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
178,Rome,US,78.01,overcast clouds,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
179,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
180,Polis,CY,73.22,clear sky,35.0367,32.4264,Marion
182,Souillac,MU,66.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
184,Ormara,PK,87.13,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
186,Sinjar,IQ,80.83,clear sky,36.3209,41.8754,زوماني فون 1
192,Ende,ID,84.65,few clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
193,Puerto Ayacucho,VE,75.34,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
195,Ixtapa,MX,83.43,overcast clouds,20.7,-105.2,hotel la terminal
196,Waingapu,ID,84.18,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
197,Aloleng,PH,83.26,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
202,Cap-Chat,CA,62.6,broken clouds,49.1001,-66.6821,Motel Restaurant Nanook Inc.
203,Mangrol,IN,81.39,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
205,Hilo,US,88.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
206,Puerto Carreno,CO,77.45,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
208,Shediac,CA,68.52,broken clouds,46.2198,-64.5411,Auberge Gabrièle (Hôtel & Restaurant)
210,Half Moon Bay,US,75.6,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
211,Fortuna,US,66.92,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
