City_ID,City_ID,City_ID.1,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,200,200,Tiksi,RU,71.6872,128.8694,39.87,88,100,8.43,overcast clouds
201,201,201,Wittstock,DE,53.1612,12.4829,59.9,64,8,4.74,clear sky
202,202,202,Cap-Chat,CA,49.1001,-66.6821,62.6,94,82,10.36,broken clouds
203,203,203,Mangrol,IN,21.1167,70.1167,81.39,91,100,24.27,overcast clouds
204,204,204,Vodnyy,RU,63.5046,53.4095,58.96,73,100,9.71,overcast clouds
205,205,205,Hilo,US,19.7297,-155.09,88.29,76,40,11.5,scattered clouds
206,206,206,Puerto Carreno,CO,6.189,-67.4859,77.45,86,98,3.6,overcast clouds
207,207,207,Tadine,NC,-21.55,167.8833,71.38,56,15,18.14,few clouds
208,208,208,Shediac,CA,46.2198,-64.5411,68.52,83,75,6.91,broken clouds
209,209,209,Palana,RU,59.1167,159.9667,52.27,93,100,5.97,overcast clouds
210,210,210,Half Moon Bay,US,37.4636,-122.4286,75.6,73,40,26.46,scattered clouds
211,211,211,Fortuna,US,40.5982,-124.1573,66.92,78,100,9.22,overcast clouds
212,212,212,Aripuana,BR,-9.1667,-60.6333,73.85,56,4,1.68,clear sky
213,213,213,Baherden,TM,38.4362,57.4316,79.3,28,0,5.95,clear sky
214,214,214,Moron,AR,-34.6534,-58.6198,57.96,71,3,7.49,clear sky
215,215,215,Seymchan,RU,62.8833,152.4333,63.46,74,100,4.92,light rain
216,216,216,Fuling,CN,29.7022,107.3919,92.44,52,5,2.73,clear sky
217,217,217,Mujiayingzi,CN,42.1167,118.7833,75.7,60,82,2.1,broken clouds
218,218,218,Fallon,US,39.4735,-118.7774,93.07,18,40,5.75,scattered clouds
219,219,219,Huarmey,PE,-10.0681,-78.1522,62.38,85,33,8.97,scattered clouds
220,220,220,Touros,BR,-5.1989,-35.4608,74.21,86,43,9.35,scattered clouds
221,221,221,Chuy,UY,-33.6971,-53.4616,51.26,90,22,6.13,few clouds
222,222,222,Soyo,AO,-6.1349,12.3689,67.93,93,19,6.26,few clouds
223,223,223,Canutama,BR,-6.5339,-64.3831,75.7,66,72,3.24,broken clouds
224,224,224,Dakar,SN,14.6937,-17.4441,81.48,75,100,10.51,overcast clouds
225,225,225,Mackay,AU,-21.15,149.2,73.69,66,52,7.76,broken clouds
226,226,226,Hohhot,CN,40.8106,111.6522,82.69,61,0,4.47,clear sky
227,227,227,Santa Maria Del Oro,MX,25.9333,-105.3667,74.93,44,66,4.18,broken clouds
228,228,228,Tyukalinsk,RU,55.8732,72.1967,66.45,68,10,3.4,clear sky
229,229,229,Poum,NC,-20.2333,164.0167,71.83,57,25,8.57,scattered clouds
230,230,230,Lincoln,US,40.8,-96.667,84.29,57,0,4.61,clear sky
231,231,231,Lisakovsk,KZ,52.5369,62.4936,64.18,82,98,13.29,overcast clouds
232,232,232,Upernavik,GL,72.7868,-56.1549,41.45,83,99,9.26,overcast clouds
233,233,233,Salinopolis,BR,-0.6136,-47.3561,78.66,82,55,11.45,broken clouds
234,234,234,Cabo San Lucas,MX,22.8909,-109.9124,88.9,58,20,8.05,few clouds
235,235,235,Khirkiya,IN,22.1674,76.8605,76.05,91,100,9.62,overcast clouds
236,236,236,Damghan,IR,36.1683,54.348,71.46,29,0,0.69,clear sky
237,237,237,Anadyr,RU,64.75,177.4833,63.1,59,20,4.47,light rain
238,238,238,Oyon,PE,-10.6681,-76.7731,46.29,75,41,0.74,scattered clouds
239,239,239,Gallup,US,35.5281,-108.7426,70.56,78,0,0.0,clear sky
240,240,240,Mobaye,CF,4.319,21.1786,69.62,99,100,2.98,moderate rain
241,241,241,Ulety,RU,51.3572,112.4849,66.25,57,36,8.97,scattered clouds
242,242,242,Kavieng,PG,-2.5744,150.7967,83.34,71,100,11.23,light rain
243,243,243,Jumla,NP,29.2747,82.1838,69.04,72,7,0.98,clear sky
244,244,244,Saint George,US,37.1041,-113.5841,87.64,45,0,9.22,clear sky
245,245,245,Pisco,PE,-13.7,-76.2167,59.05,88,20,1.14,few clouds
246,246,246,Yarmouth,US,41.7057,-70.2286,70.99,93,20,3.44,few clouds
247,247,247,Dunmore East,IE,52.1514,-6.9861,66.69,67,13,9.17,few clouds
248,248,248,Timra,SE,62.487,17.3257,61.68,94,100,10.36,light intensity drizzle
249,249,249,Mpika,ZM,-11.8343,31.4529,52.3,70,48,4.68,scattered clouds
250,250,250,Portland,US,45.5234,-122.6762,86.99,43,0,6.91,clear sky
251,251,251,Fredericksburg,US,38.3032,-77.4605,73.35,81,0,0.0,clear sky
252,252,252,Arlit,NE,18.7369,7.3853,94.66,13,9,7.87,clear sky
253,253,253,Nome,US,64.5011,-165.4064,51.87,82,100,9.22,overcast clouds
254,254,254,Mauldin,US,34.7787,-82.3101,77.05,89,100,3.44,overcast clouds
255,255,255,Yakeshi,CN,49.2833,120.7333,68.99,50,89,9.19,overcast clouds
256,256,256,Pedreiras,BR,-4.5688,-44.6003,78.19,70,61,4.05,broken clouds
257,257,257,Chokurdakh,RU,70.6333,147.9167,55.9,48,62,8.46,broken clouds
258,258,258,Fort Nelson,CA,58.8053,-122.7002,63.99,68,75,3.44,broken clouds
259,259,259,Karasjok,NO,69.4719,25.5112,48.74,78,100,17.92,overcast clouds
260,260,260,Hovd,MN,48.0056,91.6419,71.37,36,1,1.54,clear sky
261,261,261,Ketchikan,US,55.3422,-131.6461,64.87,72,0,12.66,clear sky
262,262,262,Harper,LR,4.375,-7.7169,75.33,80,100,9.44,overcast clouds
263,263,263,Satkhira,BD,22.7167,89.1,81.32,84,75,3.87,broken clouds
264,264,264,Itarema,BR,-2.9248,-39.9167,76.84,86,64,13.33,broken clouds
265,265,265,Brae,GB,60.3964,-1.353,52.2,83,100,5.17,overcast clouds
266,266,266,Poronaysk,RU,49.2167,143.1167,64.29,94,93,10.27,light rain
267,267,267,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.51,79,1,16.73,clear sky
268,268,268,Tura,IN,25.5198,90.2201,79.18,79,23,5.08,few clouds
269,269,269,New Norfolk,AU,-42.7826,147.0587,56.71,77,96,1.01,overcast clouds
270,270,270,Tiznit,MA,29.5833,-9.5,78.24,50,64,0.67,broken clouds
271,271,271,Maningrida,AU,-12.0667,134.2667,85.73,37,4,9.48,clear sky
272,272,272,Tirumullaivasal,IN,11.2333,79.8333,82.58,64,100,8.48,overcast clouds
273,273,273,Ouallam,NE,14.3188,2.0866,80.1,66,100,11.21,overcast clouds
274,274,274,Karaton,ID,-6.3424,106.1045,83.71,71,23,1.32,few clouds
275,275,275,Vestmanna,FO,62.1564,-7.1664,50.92,87,75,8.05,broken clouds
276,276,276,Hit,IQ,33.6416,42.8251,86.32,31,0,13.91,clear sky
277,277,277,Mandalgovi,MN,45.7625,106.2708,64.96,50,98,10.0,overcast clouds
278,278,278,Krasnoborsk,RU,61.5598,45.934,58.93,75,99,9.64,overcast clouds
279,279,279,Apatou,GF,5.155,-54.3472,74.07,97,72,2.21,broken clouds
280,280,280,Thinadhoo,MV,0.5333,72.9333,82.36,73,63,9.22,light rain
281,281,281,Hamilton,US,39.1834,-84.5333,74.03,89,20,9.22,few clouds
282,282,282,Leh,IN,34.1667,77.5833,55.36,82,100,3.15,moderate rain
283,283,283,Sioux Lookout,CA,50.1001,-91.917,53.67,94,75,0.0,broken clouds
284,284,284,Bathsheba,BB,13.2167,-59.5167,81.21,89,40,9.22,scattered clouds
285,285,285,Saskylakh,RU,71.9167,114.0833,46.31,57,100,8.86,overcast clouds
286,286,286,Inongo,CD,-1.95,18.2667,69.24,59,34,4.21,scattered clouds
287,287,287,Okhotsk,RU,59.3833,143.3,59.95,88,99,5.35,light rain
288,288,288,Vestmannaeyjar,IS,63.4427,-20.2734,52.52,91,100,19.13,overcast clouds
289,289,289,Phanat Nikhom,TH,13.4458,101.1844,86.09,80,100,6.85,light rain
290,290,290,Shenjiamen,CN,29.9576,122.298,84.27,81,100,14.32,overcast clouds
291,291,291,Broome,US,42.2506,-75.833,64.98,84,0,1.01,clear sky
292,292,292,Tual,ID,-5.6667,132.75,79.36,83,47,16.6,scattered clouds
293,293,293,Saint-Pierre,RE,-21.3393,55.4781,66.9,70,40,5.75,scattered clouds
294,294,294,Evensk,RU,61.95,159.2333,56.64,89,100,8.39,overcast clouds
295,295,295,Srem,PL,52.0887,17.0151,60.85,66,25,6.2,scattered clouds
296,296,296,Zhenjiang,CN,32.2092,119.4342,95.31,52,52,6.11,broken clouds
297,297,297,Biak,ID,-0.9131,122.8766,81.64,73,89,2.46,overcast clouds
298,298,298,Saint-Joseph,RE,-21.3667,55.6167,62.98,79,33,13.65,light rain
299,299,299,Wahiawa,US,21.5028,-158.0236,86.32,60,75,13.8,broken clouds
